Time,Axis_1,Axis_2,Axis_3,Axis_4,Axis_5,Axis_6,Axis_7,Axis_8
46333.623,0.28665,4.00633,6.85293,0.74847,0.77428,0.77428,0.62006,0.13734
46335.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46337.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46339.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46341.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46342.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46344.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46346.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46348.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46350.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46352.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46354.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46356.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46361.975,0.72965,11.49183,3.11017,0.36133,5.00702,1.9099,1.2282,0.11772
46363.872,7.92188,3.9009,3.26832,1.39371,3.97465,0.8259,8.10848,0.11772
46365.82,0.49512,11.33368,3.53189,0.25809,4.72312,1.18723,1.35936,0.0981
46367.787,2.86647,29.20401,6.43121,4.28436,5.34255,1.13561,0.21464,0.11772
46369.717,4.45606,0.57986,10.96468,1.44533,0.07743,0.90333,0.20271,0.11772
46371.613,0.31271,12.33527,6.64207,0.02581,3.58751,0.61943,0.77507,0.0981
46373.592,0.07818,15.02372,8.01265,0.69685,0.87752,0.12905,8.0727,0.11772
46375.562,0.36482,10.96468,6.11492,0.36133,2.27123,0.67104,0.40542,0.11772
46377.497,0.23453,11.07011,2.26674,1.96151,0.77428,0.43876,4.05424,0.0981
46379.404,1.66777,28.097,9.06695,2.50351,0.85171,0.41295,0.57236,0.0981
46381.361,0.31271,23.56352,4.42804,1.39371,8.43967,1.3679,0.17886,0.11772
46383.289,5.34206,8.27623,26.30469,0.07743,3.8456,7.87187,0.59621,1.0791
